ID,RET
418595,True
418596,True
418597,False
418598,True
418599,False
418600,True
418601,False
418602,False
418603,False
418604,True
418605,False
418606,True
418607,True
418608,True
418609,True
418610,False
418611,False
418612,False
418613,False
418614,False
418615,False
418616,False
418617,False
418618,True
418619,True
418620,True
418621,False
418622,False
418623,True
418624,False
418625,False
418626,False
418627,False
418628,True
418629,False
418630,False
418631,False
418632,False
418633,True
418634,True
418635,True
418636,True
418637,True
418638,False
418639,True
418640,True
418641,False
418642,False
418643,False
418644,False
418645,True
418646,True
418647,False
418648,False
418649,True
418650,False
418651,False
418652,False
418653,True
418654,True
418655,False
418656,False
418657,False
418658,True
418659,False
418660,False
418661,True
418662,True
418663,False
418664,False
418665,True
418666,False
418667,True
418668,True
418669,False
418670,True
418671,False
418672,True
418673,False
418674,False
418675,False
418676,False
418677,True
418678,False
418679,True
418680,False
418681,False
418682,False
418683,False
418684,True
418685,True
418686,False
418687,True
418688,True
418689,False
418690,True
418691,False
418692,True
418693,True
418694,False
418695,False
418696,False
418697,False
418698,False
418699,True
418700,True
418701,True
418702,False
418703,True
418704,True
418705,False
418706,True
418707,True
418708,True
418709,True
418710,False
418711,False
418712,False
418713,True
418714,False
418715,True
418716,True
418717,False
418718,False
418719,True
418720,False
418721,False
418722,False
418723,True
418724,False
418725,False
418726,True
418727,False
418728,False
418729,True
418730,True
418731,False
418732,False
418733,True
418734,False
418735,True
418736,False
418737,False
418738,False
418739,True
418740,False
418741,False
418742,False
418743,False
418744,False
418745,False
418746,True
418747,False
418748,False
418749,False
418750,True
418751,False
418752,False
418753,False
418754,True
418755,False
418756,False
418757,False
418758,False
418759,False
418760,True
418761,False
418762,False
418763,False
418764,False
418765,True
418766,False
418767,True
418768,False
418769,True
418770,False
418771,False
418772,True
418773,True
418774,False
418775,True
418776,True
418777,False
418778,True
418779,False
418780,True
418781,False
418782,True
418783,False
418784,True
418785,False
418786,False
418787,False
418788,False
418789,True
418790,False
418791,True
418792,True
418793,True
418794,False
418795,False
418796,False
418797,False
418798,False
418799,False
418800,False
418801,True
418802,False
418803,False
418804,False
418805,True
418806,False
418807,True
418808,True
418809,False
418810,False
418811,False
418812,True
418813,True
418814,False
418815,True
418816,False
418817,True
418818,True
418819,False
418820,True
418821,False
418822,True
418823,True
418824,False
418825,False
418826,False
418827,False
418828,True
418829,False
418830,False
418831,True
418832,False
418833,False
418834,True
418835,False
418836,False
418837,False
418838,False
418839,True
418840,True
418841,False
418842,True
418843,False
418844,False
418845,True
418846,False
418847,True
418848,True
418849,False
418850,False
418851,True
418852,False
418853,False
418854,True
418855,False
418856,True
418857,False
418858,False
418859,True
418860,True
418861,False
418862,False
418863,False
418864,False
418865,False
418866,False
418867,False
418868,False
418869,False
418870,False
418871,True
418872,True
418873,False
418874,False
418875,True
418876,False
418877,True
418878,True
418879,False
418880,False
418881,False
418882,False
418883,False
418884,False
418885,False
418886,False
418887,False
418888,True
418889,False
418890,False
418891,True
418892,True
418893,True
418894,False
418895,False
418896,False
418897,False
418898,False
418899,True
418900,False
418901,True
418902,False
418903,False
418904,True
418905,True
418906,False
418907,True
418908,True
418909,False
418910,False
418911,False
418912,True
418913,True
418914,False
418915,False
418916,True
418917,True
418918,False
418919,True
418920,True
418921,False
418922,True
418923,True
418924,False
418925,True
418926,False
418927,True
418928,False
418929,True
418930,True
418931,False
418932,False
418933,False
418934,False
418935,False
418936,False
418937,False
418938,True
418939,False
418940,True
418941,True
418942,True
418943,False
418944,True
418945,True
418946,False
418947,False
418948,True
418949,False
418950,False
418951,False
418952,True
418953,True
418954,False
418955,False
418956,False
418957,False
418958,True
418959,True
