ID,RET
418595,True
418596,False
418597,True
418598,False
418599,False
418600,True
418601,True
418602,False
418603,False
418604,False
418605,False
418606,True
418607,False
418608,False
418609,True
418610,True
418611,False
418612,False
418613,False
418614,True
418615,True
418616,False
418617,False
418618,False
418619,False
418620,True
418621,True
418622,False
418623,True
418624,True
418625,True
418626,False
418627,False
418628,True
418629,True
418630,True
418631,False
418632,False
418633,False
418634,True
418635,True
418636,False
418637,True
418638,False
418639,True
418640,True
418641,True
418642,False
418643,False
418644,True
418645,True
418646,False
418647,True
418648,False
418649,True
418650,True
418651,False
418652,False
418653,True
418654,True
418655,True
418656,True
418657,True
418658,False
418659,True
418660,False
418661,True
418662,True
418663,False
418664,False
418665,True
418666,True
418667,False
418668,True
418669,True
418670,False
418671,False
418672,False
418673,True
418674,True
418675,True
418676,False
418677,True
418678,True
418679,False
418680,False
418681,False
418682,False
418683,True
418684,True
418685,False
418686,False
418687,False
418688,False
418689,False
418690,True
418691,True
418692,True
418693,False
418694,True
418695,True
418696,False
418697,False
418698,True
418699,False
418700,False
418701,False
418702,False
418703,False
418704,True
418705,False
418706,False
418707,False
418708,False
418709,True
418710,False
418711,False
418712,False
418713,True
418714,True
418715,False
418716,True
418717,True
418718,False
418719,True
418720,False
418721,True
418722,True
418723,False
418724,False
418725,False
418726,False
418727,True
418728,False
418729,False
418730,False
418731,False
418732,False
418733,False
418734,False
418735,False
418736,True
418737,True
418738,True
418739,False
418740,True
418741,True
418742,False
418743,True
418744,False
418745,False
418746,True
418747,False
418748,False
418749,False
418750,False
418751,False
418752,False
418753,False
418754,False
418755,False
418756,True
418757,False
418758,False
418759,False
418760,True
418761,True
418762,False
418763,True
418764,False
418765,False
418766,False
418767,False
418768,False
418769,False
418770,False
418771,True
418772,True
418773,False
418774,False
418775,False
418776,False
418777,True
418778,False
418779,False
418780,True
418781,False
418782,True
418783,True
418784,False
418785,False
418786,True
418787,False
418788,False
418789,True
418790,False
418791,True
418792,False
418793,False
418794,False
418795,False
418796,False
418797,False
418798,False
418799,True
418800,False
418801,False
418802,False
418803,False
418804,False
418805,False
418806,True
418807,False
418808,False
418809,False
418810,True
418811,False
418812,True
418813,False
418814,False
418815,True
418816,False
418817,False
418818,True
418819,True
418820,True
418821,False
418822,False
418823,False
418824,True
418825,False
418826,False
418827,False
418828,False
418829,False
418830,True
418831,False
418832,True
418833,True
418834,False
418835,True
418836,True
418837,True
418838,True
418839,False
418840,False
418841,False
418842,False
418843,False
418844,False
418845,True
418846,True
418847,False
418848,False
418849,False
418850,True
418851,False
418852,False
418853,False
418854,False
418855,False
418856,False
418857,False
418858,True
418859,False
418860,False
418861,True
418862,False
418863,False
418864,True
418865,True
418866,False
418867,True
418868,True
418869,False
418870,False
