ID,RET
418595,False
418596,False
418597,True
418598,False
418599,False
418600,True
418601,False
418602,True
418603,False
418604,False
418605,False
418606,False
418607,False
418608,True
418609,True
418610,False
418611,False
418612,False
418613,True
418614,True
418615,False
418616,False
418617,True
418618,True
418619,True
418620,True
418621,False
418622,True
418623,False
418624,True
418625,True
418626,False
418627,True
418628,True
418629,False
418630,True
418631,False
418632,False
418633,False
418634,True
418635,False
418636,True
418637,False
418638,False
418639,True
418640,True
418641,False
418642,False
418643,False
418644,True
418645,False
418646,False
418647,True
418648,False
418649,False
418650,True
418651,False
418652,True
418653,False
418654,True
418655,False
418656,True
418657,True
418658,False
418659,True
418660,True
418661,False
418662,False
418663,True
418664,False
418665,True
418666,True
418667,True
418668,True
418669,True
418670,True
418671,False
418672,True
418673,True
418674,True
418675,True
418676,False
418677,True
418678,False
418679,False
418680,True
418681,False
418682,False
418683,True
418684,True
418685,True
418686,False
418687,True
418688,True
418689,False
418690,True
418691,False
418692,True
418693,True
418694,True
418695,True
418696,False
418697,True
418698,True
418699,False
418700,True
418701,True
418702,True
418703,False
418704,True
418705,False
418706,False
418707,False
418708,True
418709,True
418710,True
418711,False
418712,False
418713,True
418714,True
418715,False
418716,True
418717,False
418718,True
418719,True
418720,True
418721,True
418722,False
418723,True
418724,True
418725,False
418726,True
418727,False
418728,False
418729,False
418730,True
418731,False
418732,False
418733,False
418734,True
418735,False
418736,True
418737,True
418738,False
418739,False
418740,True
418741,True
418742,True
418743,False
418744,True
418745,True
418746,False
418747,False
418748,True
418749,True
418750,False
418751,False
418752,False
418753,True
418754,False
418755,True
418756,True
418757,True
418758,False
418759,False
418760,True
418761,False
418762,True
418763,True
418764,True
418765,False
418766,True
418767,False
418768,True
418769,True
418770,False
418771,False
418772,True
418773,False
418774,True
418775,False
418776,False
418777,True
418778,False
418779,False
418780,True
418781,True
418782,True
418783,True
418784,False
418785,False
418786,False
418787,True
418788,True
418789,True
418790,True
418791,True
418792,False
418793,False
418794,True
418795,False
418796,False
418797,False
418798,False
418799,True
418800,True
418801,True
418802,True
418803,True
418804,False
418805,False
418806,True
418807,True
418808,True
418809,False
418810,True
418811,False
418812,True
418813,True
418814,False
418815,True
418816,True
418817,True
418818,True
418819,True
418820,True
418821,True
418822,False
418823,True
418824,True
418825,True
418826,True
418827,False
418828,True
418829,True
418830,False
418831,False
418832,True
418833,False
418834,False
418835,False
418836,False
418837,True
418838,False
418839,True
418840,True
418841,True
418842,False
418843,False
418844,False
418845,False
418846,True
418847,True
418848,True
418849,True
418850,True
418851,False
418852,False
418853,True
418854,True
418855,False
418856,True
418857,True
418858,True
418859,True
418860,True
418861,True
418862,True
418863,False
418864,False
418865,True
418866,False
418867,False
418868,False
418869,True
418870,True
418871,True
418872,True
418873,True
418874,False
418875,True
418876,False
418877,True
418878,True
418879,True
418880,True
418881,False
418882,True
418883,True
418884,False
418885,True
418886,True
418887,False
418888,True
418889,True
418890,True
418891,True
418892,True
418893,True
418894,False
418895,False
418896,True
418897,True
418898,False
418899,True
418900,True
418901,True
418902,False
418903,False
418904,True
418905,True
418906,False
418907,False
418908,False
418909,True
418910,False
418911,True
418912,False
418913,False
418914,True
418915,True
418916,True
418917,False
418918,True
418919,True
418920,False
418921,False
418922,True
418923,False
418924,True
418925,True
418926,True
418927,True
418928,True
418929,False
418930,True
418931,True
418932,False
418933,True
418934,True
418935,False
418936,False
418937,True
418938,False
418939,True
418940,False
418941,True
418942,True
418943,False
418944,True
418945,False
418946,True
418947,False
418948,False
418949,False
418950,False
418951,False
418952,False
418953,False
418954,True
418955,False
418956,False
418957,False
418958,True
418959,True
418960,True
418961,True
418962,True
418963,False
418964,True
418965,True
418966,True
418967,True
418968,True
418969,False
418970,False
418971,True
418972,True
418973,True
418974,True
418975,True
418976,False
418977,True
418978,False
418979,True
418980,True
418981,True
418982,False
418983,False
418984,False
418985,False
418986,False
418987,True
418988,True
418989,False
418990,True
418991,True
418992,False
418993,False
418994,False
418995,False
418996,False
418997,True
418998,False
418999,False
419000,False
419001,False
419002,True
419003,False
419004,True
419005,False
419006,False
419007,True
419008,True
419009,False
419010,True
419011,True
419012,False
419013,True
419014,True
419015,False
419016,False
419017,True
419018,False
419019,True
419020,True
419021,True
419022,True
419023,False
419024,False
419025,False
419026,False
419027,True
419028,True
419029,False
419030,True
419031,False
419032,True
419033,True
419034,True
419035,True
419036,False
419037,False
419038,False
419039,True
419040,False
419041,True
419042,True
419043,True
419044,False
419045,True
419046,True
419047,False
419048,True
419049,False
419050,False
419051,False
419052,False
419053,False
419054,True
419055,True
419056,True
419057,True
419058,True
419059,False
419060,True
419061,True
419062,True
419063,False
419064,False
419065,False
419066,True
419067,True
419068,True
419069,True
419070,True
419071,False
419072,False
419073,True
419074,False
419075,False
419076,True
419077,False
419078,True
419079,False
419080,False
419081,True
419082,True
419083,True
419084,True
419085,False
419086,False
419087,True
419088,False
419089,True
419090,False
419091,True
419092,False
419093,False
419094,True
419095,False
419096,True
419097,True
419098,False
419099,False
419100,True
419101,False
419102,True
419103,True
419104,False
419105,False
419106,False
419107,False
419108,True
419109,False
419110,False
419111,True
419112,True
419113,False
419114,True
419115,True
419116,False
419117,True
419118,False
419119,False
419120,False
419121,True
419122,False
419123,False
419124,True
419125,True
419126,False
419127,True
419128,True
419129,False
419130,False
419131,False
419132,True
419133,True
419134,True
419135,False
419136,True
419137,False
419138,True
419139,True
419140,True
419141,False
419142,True
419143,True
419144,False
419145,False
419146,True
419147,True
419148,False
